year	text	genre	author	location	winning
2024	She had a body that reached out and slapped my face like a five-pound ham-hock tossed from a speeding truck.	N/A	Lawrence Person	Austin, TX	Winner
2024	Mrs. Higgins’ body was found in the pantry, bludgeoned with a potato ricer and lying atop a fifty-pound sack of Yukon golds, her favorite for making gnocchi, though some people consider them too moist for this purpose.	N/A	Joel Phillips	West Trenton, NJ	Winner
2024	As Nils Nordgrund struggled mightily treading water to stay afloat, while grimly watching from a distance the Norwegian oil tanker he captained slowly sink in the treacherously dark and stormy seas off Murmansk—he gave no thought to whether the Giants had any chance at a pennant win this year.	Adventure	Rex Allen	San Rafael, CA	Winner
2024	It had seemed a good idea at the time, the first night of my two-week all-inclusive vacation, spent with an affable stranger in a tapas bar oiled by an excess of Corona Extra and tequila shots, but now, in fancy dress holding a red cape, under a pitiless noonday sun, while 1000 pounds of snorting horned beefsteak eyed me malevolently, hoofing a hole in the dirt, the packed spectators oléing for all their worth, I, a junior sales rep in kitchen utensils from Milwaukee, wasn’t so sure.	Adventure	David Hynes	Bromma, Sweden	Dishonorable Mention
2024	As he mustered the platoon for another patrol on a moonlit Mekong night, Lieutenant John “Hoseman” Walker, Jr., USMC, remembered what his dad—a fellow devildog who survived the previous generation’s island-hopping campaign against Japan that had sealed the Corps’s legend—had told him as he shipped out from Coronado fourteen months earlier:  son, when you’re a Marine, rank is what you smell, not what you pull.	Adventure	G. Andrew Lundberg	Los Angeles, CA	Dishonorable Mention
2024	However unlikely an event, Lucy’s flight had made a water landing, and as she clutched her seat cushion, which was useable as a flotation device, she waited patiently for the lifeboats to pick up first the Plutonium-class members, active service personnel, parents traveling with small children, and those passengers with special needs.	Adventure	Joel Phillips	West Trenton, NJ	Dishonorable Mention
2024	The grappling hook caught, and Dirk hoisted himself hand-over-hand to the balcony, where to his surprise stood Dr. Darpa, a banana sandwich in one hand and a Smith & Wesson Bodyguard M&P 380 in the other—a pistol more suited to the delicate hand of a femme fatale, he thought—though he kept this observation to himself.	Adventure	Joel Phillips	West Trenton, NJ	Dishonorable Mention
2024	He was an old man who fished alone in a skiff in the Gulf Stream, and he had gone eighty-four days now without taking a fish, but as fish tend to live in the sea rather than in a skiff, he really had only himself to blame.	Adventure	Sam Wallington	London, England	Dishonorable Mention
2024	She was poured into the red latex dress like Jello poured into a balloon, almost bursting at the seams, and her zaftig shape was awesome to behold, but I knew from the look on her face and the .45 she held pointing at me, that this was no standard client of my detective agency, but a new collection agency tactic to get me to pay my long-overdue phone bill.	Crime & Detective	Jack Harnly	Sarasota, FL	Winner
2024	Magnus was in a tough spot...the Icelandic Police were pressing him to cough up the name of the top capo in each of the 3 main cities in which the Mafia operated—Reykjavik, Akureyri, and Middelf—threatening to lock him away for life if he didn't, but he knew that if he ratted out the Reykjavikingur or the Akureyringur the Mob would kill him for sure—so he just gave them the Middelfingur.	Crime & Detective	Mark Meiches	Dallas, TX	Dishonorable Mention
2024	That sweltering Friday evening she not so much walked but slithered into my shabby strip mall P.I. office, showing off all her curves, and I knew then I was in for a weekend of trouble because Dave’s Reptile Emporium next door, from which the ball python had escaped, was closed until Monday.	Crime & Detective	Douglas Purdy	Roseville, CA	Dishonorable Mention
